CITY_MARKET,AIRPORT,AIRPORT_ID,Description
30194,DAL,11259,"Dallas/Fort Worth, TX"
31453,HOU,12191,"Houston, TX"
31454,MCO,13204,"Orlando, FL"
34492,RDU,14492,"Raleigh/Durham, NC"
30977,MDW,13232,"Chicago, IL"
32457,OAK,13796,"San Francisco, CA (Metropolitan Area)"
30852,BWI,10821,"Washington, DC (Metropolitan Area)"
30721,MHT,13296,"Boston, MA (Metropolitan Area)"
33198,MCI,13198,"Kansas City, MO"
33570,SAN,14679,"San Diego, CA"
33316,OMA,13871,"Omaha, NE"
32211,LAS,12889,"Las Vegas, NV"
34570,RNO,14570,"Reno, NV"
32467,FLL,11697,"Miami, FL (Metropolitan Area)"
30423,AUS,10423,"Austin, TX"
33495,MSY,13495,"New Orleans, LA"
30397,ATL,10397,"Atlanta, GA (Metropolitan Area)"
33667,ORF,13931,"Norfolk, VA (Metropolitan Area)"
30466,PHX,14107,"Phoenix, AZ"
30198,PIT,14122,"Pittsburgh, PA"
31123,STL,15016,"St. Louis, MO"
30325,DEN,11292,"Denver, CO"
31066,CMH,11066,"Columbus, OH"
33851,OKC,13851,"Oklahoma City, OK"
33728,PNS,14193,"Pensacola, FL"
34321,PWM,14321,"Portland, ME"
32575,LGB,12954,"Los Angeles, CA (Metropolitan Area)"
34576,ROC,14576,"Rochester, NY"
32457,SJC,14831,"San Francisco, CA (Metropolitan Area)"
31714,RSW,14635,"Fort Myers, FL"
30721,PVD,14307,"Boston, MA (Metropolitan Area)"
32337,IND,12339,"Indianapolis, IN"
33044,SDF,14730,"Louisville, KY"
34689,SBA,14689,"Santa Barbara, CA"
33195,TPA,15304,"Tampa, FL (Metropolitan Area)"
33244,MEM,13244,"Memphis, TN"
34819,SJU,14843,"San Juan, PR"
34986,SRQ,14986,"Sarasota/Bradenton, FL"
30994,CHS,10994,"Charleston, SC"
30693,BNA,10693,"Nashville, TN"
32575,LAX,12892,"Los Angeles, CA (Metropolitan Area)"
33214,SAT,14683,"San Antonio, TX"
31481,ECP,11481,"Panama City, FL"
30647,CLE,11042,"Cleveland, OH (Metropolitan Area)"
31057,CLT,11057,"Charlotte, NC"
30852,DCA,11278,"Washington, DC (Metropolitan Area)"
30792,BUF,10792,"Buffalo, NY"
30977,ORD,13930,"Chicago, IL"
32575,ONT,13891,"Los Angeles, CA (Metropolitan Area)"
32575,SNA,14908,"Los Angeles, CA (Metropolitan Area)"
33105,CVG,11193,"Cincinnati, OH"
31703,LGA,12953,"New York City, NY (Metropolitan Area)"
30140,ABQ,10140,"Albuquerque, NM"
31136,JAX,12451,"Jacksonville, FL"
30279,AMA,10279,"Amarillo, TX"
30849,BZN,10849,"Bozeman, MT"
30615,ELP,11540,"El Paso, TX"
33192,SMF,14893,"Sacramento, CA"
32896,LBB,12896,"Lubbock, TX"
33342,MKE,13342,"Milwaukee, WI"
30713,BOI,10713,"Boise, ID"
32600,LIT,12992,"Little Rock, AR"
30189,COS,11109,"Colorado Springs, CO"
32457,SFO,14771,"San Francisco, CA (Metropolitan Area)"
31504,VPS,15624,"Valparaiso, FL"
32575,BUR,10800,"Los Angeles, CA (Metropolitan Area)"
30559,SEA,14747,"Seattle, WA"
